source,task,cases,bottom_mean_baseline_p,top_mean_baseline_p,bottom_baseline_exact_error,top_baseline_exact_error,baseline_exact_error_gap,bottom_baseline_char_error,top_baseline_char_error,baseline_char_error_gap,bottom_hidden_conflict_rate,top_hidden_conflict_rate,hidden_conflict_gap,mean_event_p_shift,risk_signal_supported,hidden_conflict_supported
real_source,invoice_6d,3000,0.8189874032139778,0.9728406457106272,0.915,0.33666666666666667,0.5783333333333334,0.23277777777777778,0.06444444444444443,0.16833333333333333,0.0,0.0,0.0,0.06001598028341929,True,False
real_source,invoice_c6d,3000,0.7916359125077724,0.9682733962933222,0.8333333333333334,0.2866666666666667,0.5466666666666666,0.17690476190476193,0.044761904761904774,0.13214285714285715,0.006666666666666667,0.0,0.006666666666666667,0.06789792846639951,True,True
real_source,stock_5d,3000,0.8231728993852934,0.9771716589728991,0.9166666666666666,0.245,0.6716666666666666,0.27666666666666667,0.054666666666666655,0.22200000000000003,0.0,0.0,0.0,0.0574056708017985,True,False
semi_real,amount,3000,0.5935556491216024,0.9292722552021344,0.96,0.4166666666666667,0.5433333333333332,0.26166666666666666,0.0786111111111111,0.18305555555555555,0.075,0.0,0.075,0.14657200489441555,True,True
semi_real,date,3000,0.4853125236928463,0.8895717950661978,0.8816666666666667,0.32666666666666666,0.555,0.12766666666666665,0.039333333333333324,0.08833333333333332,0.47833333333333333,0.0,0.47833333333333333,0.19547437952955563,True,True
semi_real,dose,3000,0.828736628840367,0.9756730505824089,0.94,0.2916666666666667,0.6483333333333332,0.26466666666666666,0.062333333333333324,0.20233333333333334,0.006666666666666667,0.0,0.006666666666666667,0.05798088265458743,True,True
semi_real,product_code,3000,0.5881333110233148,0.9180592528978984,0.98,0.7233333333333334,0.2566666666666666,0.35944444444444446,0.15083333333333332,0.20861111111111114,0.15666666666666668,0.0,0.15666666666666668,0.16258907988667487,True,True
