source,task,baseline,cases,exact_error_rate,auroc_exact_error,auprc_exact_error,spearman_char_error,top20_risk_exact_error,bottom20_risk_exact_error,risk_gap
all,all,event_risk_1_minus_p,21000,0.735904761904762,0.7088339329436718,0.8470093795183451,0.28693842503164185,0.8585714285714285,0.42333333333333334,0.4352380952380952
all,all,token_marginal_entropy,21000,0.735904761904762,0.8035907525146695,0.8983698003349487,0.4952644580928052,0.9319047619047619,0.2835714285714286,0.6483333333333333
all,all,sequence_entropy,21000,0.735904761904762,0.7798982996710081,0.878275722212466,0.43815072072154904,0.9047619047619048,0.30714285714285716,0.5976190476190476
all,all,viterbi_margin_inverse,21000,0.735904761904762,0.810548904695862,0.8941620664304356,0.4534798663419791,0.9152380952380952,0.24047619047619048,0.6747619047619047
all,all,max_sequence_probability_inverse,21000,0.735904761904762,0.8082642432287793,0.8987357412356134,0.5153384733851156,0.9357142857142857,0.2319047619047619,0.7038095238095239
all,all,neg_log_viterbi_probability,21000,0.735904761904762,0.8082642432287793,0.8987357412356134,0.5153384733851156,0.9357142857142857,0.2319047619047619,0.7038095238095239
real_source,invoice_6d,event_risk_1_minus_p,3000,0.7203333333333334,0.7928300421548096,0.88623072105163,0.4948748008532866,0.915,0.33666666666666667,0.5783333333333334
real_source,invoice_6d,token_marginal_entropy,3000,0.7203333333333334,0.8372117265712085,0.9197496943308723,0.6262470424135594,0.9583333333333334,0.22333333333333333,0.7350000000000001
real_source,invoice_6d,sequence_entropy,3000,0.7203333333333334,0.8275706684595652,0.9128877296490683,0.6107728329553467,0.9533333333333334,0.23,0.7233333333333334
real_source,invoice_6d,viterbi_margin_inverse,3000,0.7203333333333334,0.7967049422556877,0.8787791010083439,0.4638887830448432,0.9066666666666666,0.20333333333333334,0.7033333333333333
real_source,invoice_6d,max_sequence_probability_inverse,3000,0.7203333333333334,0.8122420479195888,0.9015227422193242,0.588642662664726,0.9483333333333334,0.21833333333333332,0.73
real_source,invoice_6d,neg_log_viterbi_probability,3000,0.7203333333333334,0.8122420479195888,0.9015227422193242,0.588642662664726,0.9483333333333334,0.21833333333333332,0.73
real_source,invoice_c6d,event_risk_1_minus_p,3000,0.6546666666666666,0.7354406341168052,0.8116272875830348,0.4346943144584065,0.8333333333333334,0.2866666666666667,0.5466666666666666
real_source,invoice_c6d,token_marginal_entropy,3000,0.6546666666666666,0.8126572710330348,0.8802770909317514,0.6044642417148558,0.9216666666666666,0.16,0.7616666666666666
