source,task,cases,exact_error_rate,hidden_conflict_rate,auroc_exact_error,auprc_exact_error,spearman_risk_char_error,bottom20_exact_error,bottom20_hidden_conflict_rate,bottom20_mean_risk_score
all,all,21000,0.735904761904762,0.020666666666666667,0.7088336179201438,0.8470092616357201,0.286938138221517,0.8585714285714285,0.10333333333333333,0.3640454261075883
real_source,invoice_6d,3000,0.7203333333333334,0,0.7928289390589158,0.8862313309292962,0.49487427040919907,0.915,0,0.1810125967860222
real_source,invoice_c6d,3000,0.6546666666666666,0.0013333333333333333,0.735438176756914,0.8116266428322036,0.43469108865143263,0.8333333333333334,0.006666666666666667,0.20836408749222757
real_source,stock_5d,3000,0.7143333333333334,0,0.8333547502900818,0.897879907139381,0.5666857870879515,0.9166666666666666,0,0.17682710061470666
semi_real,amount,3000,0.781,0.015,0.8046072663089835,0.9220330577983011,0.5177575110919603,0.96,0.075,0.40644435087839764
semi_real,date,3000,0.5743333333333334,0.09566666666666666,0.7219612947677809,0.7918404468559841,0.4001464071261139,0.8816666666666667,0.47833333333333333,0.5146874763071537
semi_real,dose,3000,0.7866666666666666,0.0013333333333333333,0.8509341896186441,0.936670925694714,0.5296117078782228,0.94,0.006666666666666667,0.171263371159633
semi_real,product_code,3000,0.92,0.03133333333333333,0.8239598429951691,0.9754387519611313,0.5164612898940082,0.98,0.15666666666666668,0.4118666889766852
