baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap,mean_generic_risk,mean_event_risk
token_marginal_entropy,1,2100,1051,1049,0.14176974310180782,0.11820781696854146,-0.023561926133266353,1.6380195725236886,0.0330957134280886
token_marginal_entropy,2,2100,1051,1049,0.4804947668886774,0.3937082936129647,-0.0867864732757127,2.739140504615803,0.06150984389441354
token_marginal_entropy,3,2100,1051,1049,0.7954329210275928,0.6882745471877979,-0.10715837383979487,3.553598507180189,0.08701965500911077
token_marginal_entropy,4,2100,1051,1049,0.829686013320647,0.7569113441372736,-0.07277466918337339,4.017416877399775,0.10701631534667243
token_marginal_entropy,5,2100,1051,1049,0.8591817316841104,0.771210676835081,-0.08797105484902934,4.420859600568877,0.12788658299616404
token_marginal_entropy,6,2100,1051,1049,0.8858230256898192,0.7607244995233555,-0.12509852616646366,4.915961693671443,0.1532097019326119
token_marginal_entropy,7,2100,1051,1049,0.9086584205518554,0.8074356530028599,-0.10122276754899551,5.534144185236766,0.1831758884872709
token_marginal_entropy,8,2100,1051,1049,0.9295908658420552,0.8627264061010487,-0.06686445974100652,6.243489773048398,0.21284759816669283
token_marginal_entropy,9,2100,1051,1049,0.9600380589914367,0.9046711153479504,-0.055366943643486266,7.003289930160667,0.24548549522956212
token_marginal_entropy,10,2100,1051,1049,0.9524262607040913,0.9103908484270734,-0.0420354122770179,8.67765005501619,0.34624495643235387
token_marginal_entropy,weighted_mean,21000,,,,,-0.07688406066581466,,
sequence_entropy,1,2100,1051,1049,0.14367269267364416,0.13822688274547187,-0.005445809928172285,1.5647237264113834,0.03303016568933215
sequence_entropy,2,2100,1051,1049,0.46907706945765937,0.4775977121067683,0.008520642649108956,2.5520727861762307,0.05928929433936164
sequence_entropy,3,2100,1051,1049,0.7925784966698383,0.7283126787416587,-0.06426581792817954,3.217435781309891,0.08333116290115175
sequence_entropy,4,2100,1051,1049,0.8258801141769743,0.7521448999046711,-0.07373521427230312,3.615736440631396,0.1066472818170275
sequence_entropy,5,2100,1051,1049,0.8372978116079924,0.786463298379409,-0.050834513228583456,3.95728671086061,0.12781176252024515
sequence_entropy,6,2100,1051,1049,0.8753568030447193,0.8036224976167778,-0.07173430542794146,4.355554567165424,0.14743097136418024
sequence_entropy,7,2100,1051,1049,0.8820171265461465,0.7950428979980935,-0.08697422854805303,4.8925305701743875,0.1812148346219744
sequence_entropy,8,2100,1051,1049,0.922930542340628,0.8684461391801716,-0.05448440316045644,5.506145795294488,0.21296772989488783
sequence_entropy,9,2100,1051,1049,0.928639391056137,0.8894184938036225,-0.03922089725251454,6.094603139228517,0.24988619310515267
sequence_entropy,10,2100,1051,1049,0.9134157944814463,0.8875119161105816,-0.02590387837086472,7.504053040045324,0.3558823546696277
sequence_entropy,weighted_mean,21000,,,,,-0.04640784254679597,,
viterbi_margin_inverse,1,2100,1051,1049,0.09705042816365367,0.1744518589132507,0.07740143074959704,-3.289810123897734,0.053694443702697756
viterbi_margin_inverse,2,2100,1051,1049,0.19790675547098002,0.49285033365109626,0.29494357818011624,-2.09853912096648,0.08785087063198997
viterbi_margin_inverse,3,2100,1051,1049,0.7488106565176023,0.7330791229742613,-0.015731533543341003,-1.0408952006839571,0.14508917080504555
viterbi_margin_inverse,4,2100,1051,1049,0.8496669838249287,0.7940896091515729,-0.05557737467335577,-0.6427916349115825,0.1659984518800463
viterbi_margin_inverse,5,2100,1051,1049,0.8582302568981922,0.8369876072449952,-0.021242649653197,-0.45817554930845894,0.1673585348895618
viterbi_margin_inverse,6,2100,1051,1049,0.8620361560418649,0.8722592945662536,0.01022313852438872,-0.3301657319139867,0.1777087671699978
viterbi_margin_inverse,7,2100,1051,1049,0.8677450047573739,0.8751191611058151,0.007374156348441185,-0.23264737551765782,0.1827971526909442
viterbi_margin_inverse,8,2100,1051,1049,0.8801141769743102,0.9170638703527169,0.0369496933784067,-0.15320931407667343,0.1887302046588489
viterbi_margin_inverse,9,2100,1051,1049,0.9077069457659372,0.9199237368922784,0.012216791126341109,-0.08616156156928767,0.1933918105562528
viterbi_margin_inverse,10,2100,1051,1049,0.9058039961941009,0.9275500476644424,0.021746051470341476,-0.02682706553311575,0.19487234393755595
viterbi_margin_inverse,weighted_mean,21000,,,,,0.03683032819077387,,
max_sequence_probability_inverse,1,2100,1051,1049,0.1170313986679353,0.12392755004766444,0.00689615137972914,-0.7407463272107064,0.037480938462984
max_sequence_probability_inverse,2,2100,1051,1049,0.3054234062797336,0.3813155386081983,0.0758921323284647,-0.5292019382632753,0.0768412993777366
max_sequence_probability_inverse,3,2100,1051,1049,0.8392007611798288,0.784556720686368,-0.05464404049346083,-0.3256152850193876,0.10593968862578983
max_sequence_probability_inverse,4,2100,1051,1049,0.8725023786869648,0.8474737845567207,-0.025028594130244053,-0.23609782587198977,0.11613747311489922
max_sequence_probability_inverse,5,2100,1051,1049,0.840152235965747,0.7759771210676835,-0.06417511489806349,-0.18822690048784183,0.13243298182884852
max_sequence_probability_inverse,6,2100,1051,1049,0.8439581351094196,0.7778836987607245,-0.06607443634869514,-0.15408481468624965,0.15071835358937583
max_sequence_probability_inverse,7,2100,1051,1049,0.8648905803996194,0.7902764537654909,-0.07461412663412847,-0.12160245375773976,0.1739354522597222
max_sequence_probability_inverse,8,2100,1051,1049,0.9333967649857279,0.877025738798856,-0.05637102618687184,-0.08442991070856255,0.20679743183510643
max_sequence_probability_inverse,9,2100,1051,1049,0.950523311132255,0.9361296472831268,-0.014393663849128213,-0.051186088325090695,0.24758866620205697
max_sequence_probability_inverse,10,2100,1051,1049,0.9486203615604186,0.9075309818875119,-0.04108937967290671,-0.0260376106612698,0.30961946562642145
max_sequence_probability_inverse,weighted_mean,21000,,,,,-0.031360209850530486,,
neg_log_viterbi_probability,1,2100,1051,1049,0.1170313986679353,0.12392755004766444,0.00689615137972914,0.3037630219686599,0.037480938462984
neg_log_viterbi_probability,2,2100,1051,1049,0.3054234062797336,0.3813155386081983,0.0758921323284647,0.6451971685318719,0.0768412993777366
neg_log_viterbi_probability,3,2100,1051,1049,0.8392007611798288,0.784556720686368,-0.05464404049346083,1.1290517178035917,0.10593968862578983
neg_log_viterbi_probability,4,2100,1051,1049,0.8725023786869648,0.8474737845567207,-0.025028594130244053,1.4461797949245998,0.11613747311489922
neg_log_viterbi_probability,5,2100,1051,1049,0.840152235965747,0.7759771210676835,-0.06417511489806349,1.671790117990403,0.13243298182884852
neg_log_viterbi_probability,6,2100,1051,1049,0.8439581351094196,0.7778836987607245,-0.06607443634869514,1.8719986508006141,0.15071835358937583
neg_log_viterbi_probability,7,2100,1051,1049,0.8648905803996194,0.7902764537654909,-0.07461412663412847,2.1102537562733605,0.1739354522597222
neg_log_viterbi_probability,8,2100,1051,1049,0.9333967649857279,0.877025738798856,-0.05637102618687184,2.4810952983867556,0.20679743183510643
neg_log_viterbi_probability,9,2100,1051,1049,0.950523311132255,0.9361296472831268,-0.014393663849128213,2.98312037254728,0.24758866620205697
neg_log_viterbi_probability,10,2100,1051,1049,0.9486203615604186,0.9075309818875119,-0.04108937967290671,3.7388944389387255,0.30961946562642145
neg_log_viterbi_probability,weighted_mean,21000,,,,,-0.031360209850530486,,
