task,baseline_saturated,legal_rate_not_useful,best_event_variant,best_delta_p_event,best_exact_variant,best_delta_exact_sequence_accuracy,event_task_tradeoff_observed
date,False,False,B4_semi_event_1.0,0.2602620480298996,B4_semi_event_1.0,0.1996,False
product_code,False,False,B4_semi_event_1.0,0.20787984519600866,B4_semi_event_0.05,0.044800000000000006,False
product_code_swapped_rule,False,False,B4_semi_event_1.0,0.9485458930671484,B4_semi_event_0.05,-0.0412,True
stock_like_digits,False,True,B4_semi_event_1.0,0.07686077094078063,B4_semi_event_1.0,0.0868,False
