block,task_family,task,setting,seed,variant,variant_family,train_objective,decode_mode,parameters_from,rule_id,same_split,same_seed,same_rule,same_label_alphabet,labeled_size,unlabeled_size,dev_size,epochs,lr,lambda,weight,tau,eta,rule_feature_weight,pr_tau,pr_eta,p_event,illegal_mass,low_p_event_rate,unconstrained_legal_rate,constrained_legal_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,nll,hidden_conflict_count,hidden_conflict_rate,fairness_flags,claim_use,notes
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,1,B5_rule_feature_0.8,B5,rule_feature,unconstrained,,LL-DDD,true,true,true,true,25,100,300,5,0.08,,0.8,,,0.8,,,0.864598790705204,0.13540120929479604,0.0033333333333333335,0.98,1.0,0.7411111111111112,0.7427777777777778,0.06666666666666667,0.06666666666666667,0.8766224439938863,,0.0033333333333333335,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,1,B6_pr_style_tau0.8,B6,pr_style,unconstrained,,LL-DDD,true,true,true,true,25,100,300,5,0.08,,,0.8,1.0,,0.8,1.0,0.8803106047709783,0.11968939522902167,0.0,0.9866666666666667,1.0,0.7694444444444445,0.7711111111111111,0.12666666666666668,0.12666666666666668,0.8260581911934747,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B0_unconstrained,B0,crf_nll,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,,,,,,,,0.7954730584224066,0.20452694157759344,0.0,0.93,1.0,0.8133333333333334,0.815,0.19333333333333333,0.2,0.592261499563853,,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B2_event_0.1,B2,labeled_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.7873037338256836,0.21269626617431636,0.0,0.91,1.0,0.8127777777777778,0.815,0.19333333333333333,0.20333333333333334,0.6023625395033094,,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B2_event_0.5,B2,labeled_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.7604783933361371,0.2395216066638629,0.03666666666666667,0.78,1.0,0.8022222222222222,0.805,0.17666666666666667,0.18333333333333332,0.637583589553833,,0.03666666666666667,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B4_semi_event_0.1,B4,semi_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.9295679503679275,0.0704320496320725,0.0,1.0,1.0,0.8388888888888889,0.8388888888888889,0.27666666666666667,0.27666666666666667,0.54659479909473,,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B4_semi_event_0.5,B4,semi_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9644727486371995,0.03552725136280055,0.0,1.0,1.0,0.8244444444444444,0.8244444444444444,0.26,0.26,0.6204545871416728,,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B5_rule_feature_0.8,B5,rule_feature,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,,0.8,,,0.8,,,0.8711374026536941,0.1288625973463059,0.0,0.9933333333333333,1.0,0.8266666666666667,0.8277777777777777,0.24333333333333335,0.24333333333333335,0.5411154431766934,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,0,B6_pr_style_tau0.8,B6,pr_style,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,,,0.8,1.0,,0.8,1.0,0.8853837925195694,0.11461620748043055,0.0,1.0,1.0,0.8388888888888889,0.8388888888888889,0.2733333333333333,0.2733333333333333,0.5170468004544576,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,1,B0_unconstrained,B0,crf_nll,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,,,,,,,,0.77085178454717,0.22914821545283004,0.02666666666666667,0.9133333333333333,1.0,0.8122222222222222,0.8127777777777778,0.22,0.22,0.654901671409607,,0.02666666666666667,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,1,B2_event_0.1,B2,labeled_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.7617145157853762,0.2382854842146238,0.03333333333333333,0.9,1.0,0.8111111111111111,0.8116666666666666,0.21666666666666667,0.21666666666666667,0.6701117870542738,,0.03333333333333333,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,1,B2_event_0.5,B2,labeled_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.7172121824820836,0.2827878175179164,0.11666666666666667,0.7666666666666667,1.0,0.7977777777777778,0.7988888888888889,0.17,0.17,0.7014042149649726,,0.11666666666666667,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,1,B4_semi_event_0.1,B4,semi_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.9310010667641958,0.0689989332358042,0.0,1.0,1.0,0.8344444444444444,0.8344444444444444,0.2633333333333333,0.2633333333333333,0.5883102218310038,,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,1,B4_semi_event_0.5,B4,semi_event,unconstrained,,$DD.DD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9677072201172511,0.03229277988274892,0.0,1.0,1.0,0.8277777777777777,0.8277777777777777,0.28,0.28,0.6151924324035645,,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,semi-real CPU-only local probe; not benchmark evidence
