block,task_family,task,setting,seed,variant,variant_family,train_objective,decode_mode,parameters_from,rule_id,same_split,same_seed,same_rule,same_label_alphabet,labeled_size,unlabeled_size,dev_size,epochs,lr,lambda,weight,tau,eta,rule_feature_weight,pr_tau,pr_eta,p_event,illegal_mass,low_p_event_rate,unconstrained_legal_rate,constrained_legal_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,nll,hidden_conflict_count,hidden_conflict_rate,fairness_flags,claim_use,notes
real_main,real_source_small_field,invoice_6d,real_l25_u100,1,B6_pr_style_tau0.8,B6,pr_style,unconstrained,,DDDDDD,true,true,true,true,25,100,300,5,0.08,,,0.8,1.0,,0.8,1.0,0.9341275499264399,0.06587245007356013,0.0,1.0,1.0,0.8605555555555555,0.8605555555555555,0.36333333333333334,0.36333333333333334,0.6147593182987637,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B0_unconstrained,B0,crf_nll,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,,,,,,,,0.9006645448009173,0.09933545519908271,0.006666666666666667,0.9833333333333333,1.0,0.8904761904761904,0.8909523809523809,0.4033333333333333,0.4066666666666667,0.4647963199161348,,0.006666666666666667,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B2_event_0.1,B2,labeled_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.8982956261436145,0.10170437385638553,0.006666666666666667,0.9866666666666667,1.0,0.8838095238095238,0.8842857142857142,0.38,0.38333333333333336,0.48839742433457145,,0.006666666666666667,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B2_event_0.5,B2,labeled_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9309700385729471,0.06902996142705287,0.0,0.9933333333333333,1.0,0.910952380952381,0.910952380952381,0.48,0.48,0.4151618526095436,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B4_semi_event_0.1,B4,semi_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.9635516144831975,0.03644838551680252,0.0,0.9933333333333333,1.0,0.9057142857142857,0.9057142857142857,0.4666666666666667,0.4666666666666667,0.4311285906746274,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B4_semi_event_0.5,B4,semi_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9872966653108597,0.012703334689140311,0.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.51,0.51,0.36429076058523996,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B5_rule_feature_0.8,B5,rule_feature,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,,0.8,,,0.8,,,0.9350969052314758,0.06490309476852418,0.0,0.9933333333333333,1.0,0.91,0.91,0.48333333333333334,0.48333333333333334,0.41736534481956844,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,0,B6_pr_style_tau0.8,B6,pr_style,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,,,0.8,1.0,,0.8,1.0,0.9239946971337001,0.07600530286629992,0.006666666666666667,0.9866666666666667,1.0,0.910952380952381,0.9119047619047619,0.48,0.48333333333333334,0.40566251391456243,,0.006666666666666667,warn_b1_b3_not_independent_rows;warn_local_style_baseline,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B0_unconstrained,B0,crf_nll,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,,,,,,,,0.8878448369105657,0.1121551630894343,0.0,0.99,1.0,0.8666666666666667,0.8666666666666667,0.29,0.29,0.5513213775271462,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B2_event_0.1,B2,labeled_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.8841714459657669,0.11582855403423309,0.0,0.99,1.0,0.8595238095238096,0.8595238095238096,0.25666666666666665,0.25666666666666665,0.5821465462730044,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
