block,claim_use,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,p_event_up_rate,unconstrained_event_rate,delta_unconstrained_event_rate,char_accuracy,delta_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
r1_controlled_formal,controlled structural robustness,DATE,controlled_labeled25_unlabeled100,B0_unconstrained,B0,20,0.9203497503101825,0.0,0.0,0.0,0.9955,0.0,0.9995333333333334,0.0,0.9953333333333333,0.0,0.03055098393758138,0.0008333333333333334
r1_controlled_formal,controlled structural robustness,DATE,controlled_labeled25_unlabeled100,B2_event_0.1,B2,20,0.9191309833824635,-0.0012187669277191116,0.0003601958278093573,0.0,0.9951666666666666,-0.0003333333333333355,0.9994833333333333,-5.000000000000004e-05,0.9948333333333333,-0.0005000000000000004,0.030523732980092366,0.0013333333333333333
r1_controlled_formal,controlled structural robustness,DATE,controlled_labeled25_unlabeled100,B2_event_0.5,B2,20,0.9104025848855575,-0.00994716542462507,0.0024869586498333335,0.0,0.9943333333333333,-0.001166666666666666,0.9992666666666666,-0.00026666666666666505,0.9926666666666667,-0.002666666666666662,0.0313931134223938,0.0021666666666666666
r1_controlled_formal,controlled structural robustness,DATE,controlled_labeled25_unlabeled100,B4_semi_event_0.1,B4,20,0.9725543039043745,0.05220455359419189,0.006501390006885996,1.0,1.0,0.004499999999999999,1.0,0.00046666666666666525,1.0,0.004666666666666669,0.010933860047658284,0.0
r1_controlled_formal,controlled structural robustness,DATE,controlled_labeled25_unlabeled100,B4_semi_event_0.5,B4,20,0.9847728784481684,0.0644231281379859,0.007172294215418604,1.0,1.0,0.004499999999999999,1.0,0.00046666666666666525,1.0,0.004666666666666669,0.007320555241902669,0.0
r1_controlled_formal,controlled structural robustness,DDDLL,controlled_labeled25_unlabeled100,B0_unconstrained,B0,20,0.17650064334568014,0.0,0.0,0.0,0.1855,0.0,0.7203333333333334,0.0,0.164,0.0,0.8649818455775579,0.8948333333333334
r1_controlled_formal,controlled structural robustness,DDDLL,controlled_labeled25_unlabeled100,B2_event_0.1,B2,20,0.1765242042365474,2.3560890867277417e-05,0.00014423703420602424,0.55,0.185,-0.0005000000000000004,0.7201333333333333,-0.00019999999999999462,0.16316666666666665,-0.0008333333333333332,0.8757521823008855,0.8936666666666667
r1_controlled_formal,controlled structural robustness,DDDLL,controlled_labeled25_unlabeled100,B2_event_0.5,B2,20,0.1775415392456295,0.00104089589994934,0.0006481581996491929,0.8,0.1855,1.3877787807814458e-18,0.7175,-0.002833333333333338,0.16133333333333333,-0.0026666666666666644,0.9148686447540919,0.8903333333333333
r1_controlled_formal,controlled structural robustness,DDDLL,controlled_labeled25_unlabeled100,B4_semi_event_0.1,B4,20,0.27177210756911274,0.0952714642234326,0.010145065548795398,1.0,0.2936666666666667,0.10816666666666666,0.7633333333333333,0.04300000000000002,0.19466666666666665,0.030666666666666665,0.8151501832962036,0.8016666666666666
r1_controlled_formal,controlled structural robustness,DDDLL,controlled_labeled25_unlabeled100,B4_semi_event_0.5,B4,20,0.5723029603582497,0.3958023170125695,0.07052217514130178,1.0,0.6538333333333334,0.4683333333333333,0.6953,-0.025033333333333335,0.10283333333333333,-0.06116666666666667,1.3652330986738206,0.4025
