block,task_family,task,setting,seed,variant,variant_family,train_objective,decode_mode,parameters_from,rule_id,same_split,same_seed,same_rule,same_label_alphabet,labeled_size,unlabeled_size,dev_size,epochs,lr,lambda,weight,tau,eta,rule_feature_weight,pr_tau,pr_eta,p_event,illegal_mass,low_p_event_rate,unconstrained_legal_rate,constrained_legal_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,nll,hidden_conflict_count,hidden_conflict_rate,fairness_flags,claim_use,notes
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,0,B0_unconstrained,B0,crf_nll,unconstrained,,LLDDD,true,true,true,true,25,100,300,5,0.08,,,,,,,,0.21675419885199518,0.7832458011480048,0.8633333333333333,0.19333333333333333,1.0,0.7693333333333333,0.9066666666666666,0.16666666666666666,0.5566666666666666,0.8279913902282715,,0.8633333333333333,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,controlled CPU-only posterior-event training probe; not a benchmark
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,0,B2_event_0.1,B2,labeled_event,unconstrained,,LLDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.21675364819782164,0.7832463518021784,0.86,0.19333333333333333,1.0,0.764,0.9053333333333333,0.16666666666666666,0.55,0.8381593815485636,,0.86,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,controlled CPU-only posterior-event training probe; not a benchmark
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,0,B2_event_0.5,B2,labeled_event,unconstrained,,LLDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.21728658266753578,0.7827134173324642,0.8566666666666667,0.2,1.0,0.756,0.8893333333333333,0.16333333333333333,0.49,0.8768846611976624,,0.8566666666666667,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,controlled CPU-only posterior-event training probe; not a benchmark
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,0,B4_semi_event_0.1,B4,semi_event,unconstrained,,LLDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.32165645693584033,0.6783435430641597,0.74,0.36333333333333334,1.0,0.7866666666666666,0.8386666666666667,0.18333333333333332,0.3233333333333333,0.8334011963208516,,0.74,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,controlled CPU-only posterior-event training probe; not a benchmark
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,0,B4_semi_event_0.5,B4,semi_event,unconstrained,,LLDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.6928117728730043,0.30718822712699567,0.22666666666666666,0.7866666666666666,1.0,0.7346666666666667,0.742,0.11,0.13666666666666666,1.5178960803349812,,0.22666666666666666,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,controlled CPU-only posterior-event training probe; not a benchmark
