block,task_family,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,up_rate_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,up_rate_legal,constrained_event_rate,char_accuracy,delta_char_accuracy,up_rate_char,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,up_rate_exact,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,fairness_flags,claim_use,notes
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,B0_unconstrained,B0,1,0.21675419885199518,0.0,0.0,0.0,0.7832458011480048,0.0,0.8633333333333333,0.19333333333333333,0.0,0.0,1.0,0.7693333333333333,0.0,0.0,0.9066666666666666,0.0,0.16666666666666666,0.0,0.0,0.5566666666666666,0.0,0.8279913902282715,0.8633333333333333,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,B2_event_0.1,B2,1,0.21675364819782164,-5.506541735367243e-07,0.0,0.0,0.7832463518021784,5.506541735922355e-07,0.86,0.19333333333333333,0.0,0.0,1.0,0.764,-0.005333333333333301,0.0,0.9053333333333333,-0.0013333333333332975,0.16666666666666666,0.0,0.0,0.55,-0.006666666666666599,0.8381593815485636,0.86,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,B2_event_0.5,B2,1,0.21728658266753578,0.0005323838155406047,0.0,1.0,0.7827134173324642,-0.0005323838155405491,0.8566666666666667,0.2,0.006666666666666682,1.0,1.0,0.756,-0.013333333333333308,0.0,0.8893333333333333,-0.01733333333333331,0.16333333333333333,-0.003333333333333327,0.0,0.49,-0.06666666666666665,0.8768846611976624,0.8566666666666667,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,B4_semi_event_0.1,B4,1,0.32165645693584033,0.10490225808384515,0.0,1.0,0.6783435430641597,-0.10490225808384512,0.74,0.36333333333333334,0.17,1.0,1.0,0.7866666666666666,0.01733333333333331,1.0,0.8386666666666667,-0.06799999999999995,0.18333333333333332,0.016666666666666663,1.0,0.3233333333333333,-0.23333333333333334,0.8334011963208516,0.74,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,
block_A_controlled,controlled_format,LLDDD,controlled_labeled25_unlabeled100,B4_semi_event_0.5,B4,1,0.6928117728730043,0.4760575740210091,0.0,1.0,0.30718822712699567,-0.4760575740210091,0.22666666666666666,0.7866666666666666,0.5933333333333333,1.0,1.0,0.7346666666666667,-0.03466666666666662,0.0,0.742,-0.16466666666666663,0.11,-0.05666666666666666,0.0,0.13666666666666666,-0.42,1.5178960803349812,0.22666666666666666,warn_b1_b3_not_independent_rows;warn_controlled_no_b5_b6,controlled structural evidence only,
