source_model,decoded_legal_rate,token_accuracy,entity_F1,uses_event_training,uses_event_mass_for_decoding
B0_unconstrained,1.0,0.8840852671460329,0.14864864864864866,False,False
B4_semi_event_0.1,1.0,0.8838359294895138,0.16883116883116886,True,False
