block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
real_learning,stock_5d,DDDDD,real_l25_u100,B0_unconstrained,1,25,100,250,5,0.08,0.9311222512722015,0.0688777487277985,0.0,1.0,1.0,0.808,0.808,0.26,0.26,0.665117877960205,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l25_u100,B4_semi_event_0.1,1,25,100,250,5,0.08,0.97457683634758,0.025423163652420033,0.0,1.0,1.0,0.836,0.836,0.332,0.332,0.6167156728744507,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l50_u100,B0_unconstrained,0,50,100,250,5,0.08,0.9636397960186005,0.0363602039813995,0.0,1.0,1.0,0.9646666666666667,0.9646666666666667,0.8,0.8,0.17257208156585693,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l50_u100,B4_semi_event_0.1,0,50,100,250,5,0.08,0.9830291113853454,0.016970888614654567,0.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.808,0.808,0.14219075425465902,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l50_u100,B0_unconstrained,1,50,100,250,5,0.08,0.9676285922527313,0.032371407747268655,0.0,1.0,1.0,0.9453333333333334,0.9453333333333334,0.736,0.736,0.2528911329905192,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l50_u100,B4_semi_event_0.1,1,50,100,250,5,0.08,0.9830299589633942,0.01697004103660582,0.0,1.0,1.0,0.956,0.956,0.772,0.772,0.23790197404225666,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l50_u100,B0_unconstrained,0,50,100,250,5,0.08,0.954683669090271,0.045316330909728975,0.0,1.0,1.0,0.928,0.928,0.7,0.7,0.34633461627960205,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l50_u100,B4_semi_event_0.1,0,50,100,250,5,0.08,0.9808093636035919,0.019190636396408056,0.0,1.0,1.0,0.9328,0.9328,0.716,0.716,0.3212070058822632,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l50_u100,B0_unconstrained,1,50,100,250,5,0.08,0.9681703276634216,0.03182967233657841,0.0,1.0,1.0,0.9432,0.9432,0.74,0.74,0.2680450483322144,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l50_u100,B4_semi_event_0.1,1,50,100,250,5,0.08,0.9851929819583893,0.014807018041610664,0.0,1.0,1.0,0.9448,0.9448,0.748,0.748,0.23052803287506105,0.0,semi-real CPU-only local probe; not benchmark evidence
