config,seed,lam,epochs,lr,mean_p_event,mean_illegal_mass,mean_gold_path_prob,mean_legal_non_gold_mass,mean_nll,token_accuracy,notes
transition_sparse_e3_lr005,1,5.0,3,0.05,0.8209869464238485,0.17901305357615152,0.07380011801918347,0.747186828404665,0.6552349328994751,0.3333333333333333,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,0,0.0,2,0.1,0.8054193059603373,0.1945806940396627,0.4359428783257802,0.36947642763455707,0.2077234983444214,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,0,0.5,2,0.1,0.8104965885480245,0.1895034114519755,0.439724604288737,0.37077198425928753,0.2056185007095337,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,0,1.0,2,0.1,0.8135361671447754,0.1864638328552246,0.4421177804470062,0.37141838669776917,0.2042869726816813,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,0,2.0,2,0.1,0.8339937925338745,0.1660062074661255,0.4172105888525645,0.41678320368131,0.21937817335128784,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,0,5.0,2,0.1,0.8802300095558167,0.11976999044418335,0.17285612225532532,0.7073738873004913,0.4423942565917969,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,1,0.0,2,0.1,0.7812325159708658,0.21876748402913412,0.3903032143910726,0.3909293015797933,0.2394639253616333,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,1,0.5,2,0.1,0.7873364289601644,0.2126635710398356,0.39451339840888977,0.3928230305512746,0.2369225819905599,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,1,1.0,2,0.1,0.790758470694224,0.20924152930577597,0.3970996141433716,0.3936588565508525,0.23537878195444742,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,1,2.0,2,0.1,0.8239930272102356,0.1760069727897644,0.3275066514809926,0.496486375729243,0.28422025839487713,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e2_lr010,1,5.0,2,0.1,0.8842430313428243,0.1157569686571757,0.11869277060031891,0.7655502607425054,0.5386600494384766,0.9166666666666666,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
