dataset,split,seed,lam,epochs,train_sentences,dev_sentences,mean_p_event,median_p_event,mean_nll,token_accuracy,legal_viterbi_rate,constrained_legal_rate,conflict_count,mean_gold_path_prob,mean_legal_non_gold_mass,mean_illegal_mass,top_legal_mass,notes
synthetic_transition_sparse,synthetic_transition_sparse_dev,2,2.0,2,3,9,0.8192562262217203,0.8159357309341431,0.26800499359766644,1.0,1.0,1.0,0,0.3473758101463318,0.4718804160753886,0.18074377377827963,0.5467129425690587,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,0,0.0,1,30,30,0.9827495574951172,0.9841683506965637,0.11959218184153239,1.0,1.0,1.0,0,0.6904365539550781,0.2923130035400391,0.017250442504882814,0.8758177075688865,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,0,0.1,1,30,30,0.9831514000892639,0.9846086502075195,0.1193514347076416,1.0,1.0,1.0,0,0.6909300088882446,0.2922213912010193,0.016848599910736083,0.8765374824043419,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,0,0.5,1,30,30,0.9845559358596802,0.9861258268356323,0.11844991048177084,1.0,1.0,1.0,0,0.6927894830703736,0.29176645278930663,0.015444064140319824,0.8792412130470434,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,1,0.0,1,30,30,0.978169846534729,0.9772571325302124,0.12864668369293214,1.0,1.0,1.0,0,0.6708447217941285,0.3073251247406006,0.021830153465270997,0.869848803464978,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,1,0.1,1,30,30,0.9786442279815674,0.9776924848556519,0.12824379603068034,1.0,1.0,1.0,0,0.671672785282135,0.3069714426994324,0.02135577201843262,0.8705081776508797,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,1,0.5,1,30,30,0.9803373575210571,0.9792578220367432,0.12675995826721193,1.0,1.0,1.0,0,0.6747422814369202,0.30559507608413694,0.019662642478942872,0.8729769298962397,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,2,0.0,1,30,30,0.98481525182724,0.9864893555641174,0.12475659847259521,1.0,1.0,1.0,0,0.6830843091011047,0.30173094272613527,0.015184748172760009,0.8626208790484193,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,2,0.1,1,30,30,0.9851228594779968,0.9867490530014038,0.12448094685872396,1.0,1.0,1.0,0,0.683547294139862,0.3015755653381348,0.014877140522003174,0.8632797489451154,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,2,0.5,1,30,30,0.9862258672714234,0.9876849055290222,0.12341278394063314,1.0,1.0,1.0,0,0.6853586435317993,0.30086722373962405,0.01377413272857666,0.8658643552515244,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,0,0.0,1,30,30,0.9827495574951172,0.9841683506965637,0.11959218184153239,1.0,1.0,1.0,0,0.6904365539550781,0.2923130035400391,0.017250442504882814,0.8758177075688865,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,0,0.1,1,30,30,0.9831514000892639,0.9846086502075195,0.1193514347076416,1.0,1.0,1.0,0,0.6909300088882446,0.2922213912010193,0.016848599910736083,0.8765374824043419,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,0,0.5,1,30,30,0.9845559358596802,0.9861258268356323,0.11844991048177084,1.0,1.0,1.0,0,0.6927894830703736,0.29176645278930663,0.015444064140319824,0.8792412130470434,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,1,0.0,1,30,30,0.978169846534729,0.9772571325302124,0.12864668369293214,1.0,1.0,1.0,0,0.6708447217941285,0.3073251247406006,0.021830153465270997,0.869848803464978,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,1,0.1,1,30,30,0.9786442279815674,0.9776924848556519,0.12824379603068034,1.0,1.0,1.0,0,0.671672785282135,0.3069714426994324,0.02135577201843262,0.8705081776508797,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,1,0.5,1,30,30,0.9803373575210571,0.9792578220367432,0.12675995826721193,1.0,1.0,1.0,0,0.6747422814369202,0.30559507608413694,0.019662642478942872,0.8729769298962397,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,2,0.0,1,30,30,0.98481525182724,0.9864893555641174,0.12475659847259521,1.0,1.0,1.0,0,0.6830843091011047,0.30173094272613527,0.015184748172760009,0.8626208790484193,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,2,0.1,1,30,30,0.9851228594779968,0.9867490530014038,0.12448094685872396,1.0,1.0,1.0,0,0.683547294139862,0.3015755653381348,0.014877140522003174,0.8632797489451154,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,2,0.5,1,30,30,0.9862258672714234,0.9876849055290222,0.12341278394063314,1.0,1.0,1.0,0,0.6853586435317993,0.30086722373962405,0.01377413272857666,0.8658643552515244,diagnostic-only; not benchmark/usefulness evidence
