block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
learning_curve,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.1,0,25,100,250,5,0.08,0.9290889976024628,0.07091100239753723,0.0,1.0,1.0,0.832,0.832,0.256,0.256,0.5479809255599976,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled25_unlabeled100,B0_unconstrained,1,25,100,250,5,0.08,0.7705831899642944,0.22941681003570558,0.032,0.904,1.0,0.8073333333333333,0.808,0.208,0.208,0.664463168780009,0.032,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.1,1,25,100,250,5,0.08,0.9304424896240234,0.06955751037597657,0.0,1.0,1.0,0.8306666666666667,0.8306666666666667,0.248,0.248,0.6000850140253703,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled50_unlabeled100,B0_unconstrained,0,50,100,250,5,0.08,0.8615431506633758,0.13845684933662417,0.0,0.98,1.0,0.8853333333333333,0.8906666666666667,0.456,0.464,0.4388498264948527,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled50_unlabeled100,B4_semi_event_0.1,0,50,100,250,5,0.08,0.9472532541751861,0.05274674582481387,0.0,1.0,1.0,0.91,0.91,0.54,0.54,0.3670983352661133,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled50_unlabeled100,B0_unconstrained,1,50,100,250,5,0.08,0.8539222818613053,0.14607771813869475,0.016,0.968,1.0,0.906,0.9126666666666666,0.532,0.54,0.39148499806722004,0.016,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled50_unlabeled100,B4_semi_event_0.1,1,50,100,250,5,0.08,0.9558907103538513,0.044109289646148686,0.0,1.0,1.0,0.9353333333333333,0.9353333333333333,0.64,0.64,0.2771434810956319,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled50_unlabeled100,B0_unconstrained,0,50,100,250,5,0.08,0.9105876829624177,0.08941231703758235,0.0,0.98,1.0,0.9586666666666667,0.9606666666666667,0.772,0.784,0.2277049134572347,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled50_unlabeled100,B4_semi_event_0.1,0,50,100,250,5,0.08,0.9602116074562073,0.03978839254379274,0.0,1.0,1.0,0.964,0.964,0.792,0.792,0.1784311408996582,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled50_unlabeled100,B0_unconstrained,1,50,100,250,5,0.08,0.8784981217384339,0.12150187826156611,0.0,0.948,1.0,0.9386666666666666,0.9426666666666667,0.668,0.684,0.2591989351908366,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled50_unlabeled100,B4_semi_event_0.1,1,50,100,250,5,0.08,0.9486626319885254,0.05133736801147459,0.0,0.996,1.0,0.95,0.9506666666666667,0.716,0.72,0.20258234214782714,0.0,semi-real CPU-only local probe; not benchmark evidence
