block,task,setting,variant,runs,mean_p_event,delta_p_event,ci95_delta_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,constrained_event_rate,char_accuracy,delta_char_accuracy,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
real_main,invoice_6d,real_l25_u100,B0_unconstrained,2,0.9110549264152845,0.0,0.0,0.08894507358471554,0.0,0.0,1.0,0.0,1.0,0.8288888888888888,0.0,0.8288888888888888,0.0,0.24666666666666667,0.0,0.24666666666666667,0.0,0.6881787745157877,0.0
real_main,invoice_6d,real_l25_u100,B2_event_0.1,2,0.907995421787103,-0.003059504628181442,0.0009974648078283964,0.09200457821289698,0.003059504628181442,0.0,1.0,0.0,1.0,0.8202777777777778,-0.00861111111111107,0.8202777777777778,-0.00861111111111107,0.225,-0.021666666666666667,0.225,-0.021666666666666667,0.7303877545727624,0.0
real_main,invoice_6d,real_l25_u100,B2_event_0.5,2,0.9440566684802374,0.03300174206495288,0.007149848417440951,0.05594333151976266,-0.03300174206495288,0.0,1.0,0.0,1.0,0.8608333333333333,0.0319444444444445,0.8608333333333333,0.0319444444444445,0.34833333333333333,0.10166666666666666,0.34833333333333333,0.10166666666666666,0.5911986029148102,0.0
real_main,invoice_6d,real_l25_u100,B4_semi_event_0.1,2,0.972985320687294,0.061930394272009526,0.017107338392734508,0.027014679312706014,-0.061930394272009526,0.0,1.0,0.0,1.0,0.8555555555555555,0.026666666666666672,0.8555555555555555,0.026666666666666672,0.3416666666666667,0.095,0.3416666666666667,0.095,0.6029855064551035,0.0
real_main,invoice_6d,real_l25_u100,B4_semi_event_0.5,2,0.9921845557292301,0.08112962931394574,0.01589185535510377,0.0078154442707698,-0.08112962931394574,0.0,1.0,0.0,1.0,0.8744444444444445,0.04555555555555563,0.8744444444444445,0.04555555555555563,0.4066666666666667,0.16,0.4066666666666667,0.16,0.48001424564255607,0.0
real_main,invoice_6d,real_l25_u100,B5_rule_feature_0.8,2,0.9411576125025749,0.030102686087290442,0.005953281505902554,0.0588423874974251,-0.030102686087290442,0.0,1.0,0.0,1.0,0.8508333333333333,0.02194444444444449,0.8508333333333333,0.02194444444444449,0.32,0.07333333333333333,0.32,0.07333333333333333,0.6074703654978011,0.0
real_main,invoice_6d,real_l25_u100,B6_pr_style_tau0.8,2,0.9328716051578522,0.021816678742567708,0.013021402585506468,0.06712839484214783,-0.021816678742567708,0.0,1.0,0.0,1.0,0.8527777777777777,0.023888888888888904,0.8527777777777777,0.023888888888888904,0.33499999999999996,0.08833333333333332,0.33499999999999996,0.08833333333333332,0.6191039015187157,0.0
real_main,invoice_c6d,real_l25_u100,B0_unconstrained,2,0.8942546908557415,0.0,0.0,0.1057453091442585,0.0,0.0033333333333333335,0.9866666666666666,0.0,1.0,0.8785714285714286,0.0,0.8788095238095238,0.0,0.3466666666666667,0.0,0.34833333333333333,0.0,0.5080588487216404,0.0033333333333333335
real_main,invoice_c6d,real_l25_u100,B2_event_0.1,2,0.8912335360546907,-0.003021154801050807,0.001278382841746053,0.10876646394530931,0.003021154801050807,0.0033333333333333335,0.9883333333333333,0.0016666666666667052,1.0,0.8716666666666667,-0.006904761904761858,0.871904761904762,-0.0069047619047619135,0.31833333333333336,-0.02833333333333332,0.32,-0.02833333333333332,0.535271985303788,0.0033333333333333335
real_main,invoice_c6d,real_l25_u100,B2_event_0.5,2,0.9280556325117747,0.0338009416560332,0.006851077852646575,0.0719443674882253,-0.0338009416560332,0.0,0.995,0.00833333333333336,1.0,0.8990476190476191,0.02047619047619048,0.8990476190476191,0.02023809523809522,0.42166666666666663,0.07500000000000001,0.42166666666666663,0.07333333333333333,0.45285405658540273,0.0
