source,task,cases,quantile,bottom_mean_baseline_p,top_mean_baseline_p,bottom_baseline_exact_error,top_baseline_exact_error,bottom_event_exact_error,top_event_exact_error,bottom_baseline_char_error,top_baseline_char_error,bottom_event_char_error,top_event_char_error,bottom_hidden_conflict_rate,top_hidden_conflict_rate,mean_event_p_shift
real_source,invoice_6d,300,0.2,0.7947029680013656,0.9717972616354624,0.9666666666666667,0.35,0.8666666666666667,0.3333333333333333,0.2472222222222222,0.06388888888888888,0.21388888888888888,0.0611111111111111,0.0,0.0,0.07065862814585368
real_source,stock_5d,300,0.2,0.8199587881565094,0.9750609954198202,0.8833333333333333,0.2,0.8,0.2,0.2866666666666667,0.039999999999999994,0.2733333333333333,0.039999999999999994,0.0,0.0,0.05414433836936951
semi_real,amount,300,0.2,0.6252200583616893,0.9309071113665899,0.9833333333333333,0.48333333333333334,0.85,0.43333333333333335,0.26944444444444443,0.0861111111111111,0.20833333333333331,0.07499999999999998,0.0,0.0,0.13409489194552104
semi_real,product_code,300,0.2,0.5374658770859242,0.9154790242513021,1.0,0.7333333333333333,0.95,0.7,0.4027777777777778,0.15833333333333333,0.3388888888888889,0.15833333333333333,0.2833333333333333,0.0,0.17645046715935073
