dataset,variant,seed,train_sentences,unlabeled_sentences,dev_sentences,max_len,epochs,use_features,mean_p_event,hidden_conflict_rate,unconstrained_legal_rate,constrained_decoded_legal_rate,b7_legal_rate,token_accuracy,constrained_token_accuracy,b7_token_accuracy,span_f1,constrained_span_f1,b7_span_f1,claim_boundary
conll2000_chunking,B0_unconstrained,0,80,80,80,40,1,True,0.7303,0.4125,1.0000,1.0000,1.0000,0.8715,0.8715,0.8715,0.7345,0.7345,0.7345,smoke only; not benchmark superiority
conll2000_chunking,B4_semi_event_0.1,0,80,80,80,40,1,True,0.8078,0.2125,0.9750,1.0000,1.0000,0.8630,0.8627,0.8627,0.7219,0.7211,0.7211,smoke only; event-mass movement plus task-metric boundary
