variant,P_BIO,hidden_conflict,unconstrained_legal,B7_legal,token_acc,B7_token_acc,span_F1,B7_span_F1
B0_unconstrained,0.9761971407011152,0.024,0.98,1.0,0.8622601133137769,0.8626357230335064,0.777271132935812,0.7775830339146437
B4_semi_event_0.1,0.9953035919368267,0.004,1.0,1.0,0.8680994608109337,0.8680994608109337,0.793629902605949,0.793629902605949
