variant,generic_baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap
B0_unconstrained,token_marginal_entropy,1,100,53,47,0.16981132075471697,0.3191489361702128,0.1493376154154958
B0_unconstrained,token_marginal_entropy,2,100,51,49,0.5882352941176471,0.6326530612244898,0.044417767106842754
B0_unconstrained,token_marginal_entropy,3,100,51,49,0.7843137254901961,0.7755102040816326,-0.008803521408563442
B0_unconstrained,token_marginal_entropy,4,100,51,49,0.8627450980392157,0.7959183673469388,-0.06682673069227696
B0_unconstrained,token_marginal_entropy,5,100,51,49,0.9019607843137255,0.7142857142857143,-0.1876750700280112
B0_unconstrained,token_marginal_entropy,6,100,51,49,0.9019607843137255,0.8775510204081632,-0.024409763905562265
B0_unconstrained,token_marginal_entropy,7,100,51,49,0.9607843137254902,0.8979591836734694,-0.06282513005202084
B0_unconstrained,token_marginal_entropy,8,100,51,49,0.9411764705882353,0.9795918367346939,0.038415366146458574
B0_unconstrained,token_marginal_entropy,9,100,51,49,0.9411764705882353,0.9591836734693877,0.01800720288115243
B0_unconstrained,token_marginal_entropy,10,100,51,49,1,1,0
B0_unconstrained,token_marginal_entropy,weighted_mean,1000,,,,,-0.010036226453648517
B0_unconstrained,sequence_entropy,1,100,53,47,0.16981132075471697,0.3829787234042553,0.21316740264953835
B0_unconstrained,sequence_entropy,2,100,51,49,0.6078431372549019,0.5714285714285714,-0.036414565826330514
B0_unconstrained,sequence_entropy,3,100,51,49,0.6078431372549019,0.8367346938775511,0.22889155662264915
B0_unconstrained,sequence_entropy,4,100,51,49,0.9215686274509803,0.7346938775510204,-0.1868747498999599
B0_unconstrained,sequence_entropy,5,100,51,49,0.8431372549019608,0.8571428571428571,0.014005602240896309
B0_unconstrained,sequence_entropy,6,100,51,49,0.9411764705882353,0.8979591836734694,-0.043217286914765896
B0_unconstrained,sequence_entropy,7,100,51,49,0.9215686274509803,0.9183673469387755,-0.003201280512204807
B0_unconstrained,sequence_entropy,8,100,51,49,0.9411764705882353,0.9387755102040817,-0.0024009603841536054
B0_unconstrained,sequence_entropy,9,100,51,49,0.9607843137254902,0.9591836734693877,-0.0016006402561025146
B0_unconstrained,sequence_entropy,10,100,51,49,1,1,0
B0_unconstrained,sequence_entropy,weighted_mean,1000,,,,,0.01823550777195666
B0_unconstrained,viterbi_margin_inverse,1,100,53,47,0.16981132075471697,0.425531914893617,0.2557205941389
B0_unconstrained,viterbi_margin_inverse,2,100,53,47,0.5471698113207547,0.6808510638297872,0.1336812525090325
B0_unconstrained,viterbi_margin_inverse,3,100,51,49,0.7843137254901961,0.7755102040816326,-0.008803521408563442
B0_unconstrained,viterbi_margin_inverse,4,100,51,49,0.8235294117647058,0.8571428571428571,0.03361344537815125
B0_unconstrained,viterbi_margin_inverse,5,100,51,49,0.8823529411764706,0.8775510204081632,-0.004801920768307322
B0_unconstrained,viterbi_margin_inverse,6,100,51,49,0.8627450980392157,0.8979591836734694,0.035214085634253656
B0_unconstrained,viterbi_margin_inverse,7,100,51,49,0.8823529411764706,0.9387755102040817,0.056422569027611114
B0_unconstrained,viterbi_margin_inverse,8,100,51,49,0.9215686274509803,0.9795918367346939,0.05802320928371352
B0_unconstrained,viterbi_margin_inverse,9,100,51,49,0.9215686274509803,0.9591836734693877,0.03761504601840737
B0_unconstrained,viterbi_margin_inverse,10,100,51,49,0.9019607843137255,0.9387755102040817,0.03681472589035617
B0_unconstrained,viterbi_margin_inverse,weighted_mean,1000,,,,,0.06334994857035547
B0_unconstrained,max_sequence_probability_inverse,1,100,52,48,0.15384615384615385,0.3958333333333333,0.24198717948717946
B0_unconstrained,max_sequence_probability_inverse,2,100,51,49,0.5686274509803921,0.5918367346938775,0.023209283713485407
B0_unconstrained,max_sequence_probability_inverse,3,100,52,48,0.7692307692307693,0.7708333333333334,0.0016025641025640969
B0_unconstrained,max_sequence_probability_inverse,4,100,51,49,0.803921568627451,0.8367346938775511,0.03281312525010005
B0_unconstrained,max_sequence_probability_inverse,5,100,51,49,0.9215686274509803,0.8775510204081632,-0.0440176070428171
